Month,HourlySeaLevelPressure,HourlyStationPressure
1,30.055195681511474,30.01200554528651
2,30.04216417910448,30.027917917917918
3,29.968667563930016,29.947779605263158
4,29.912641791044777,29.925904954499497
5,29.86755376344086,29.900677799607074
6,29.7621216407355,29.792548837209303
7,29.887583212735166,29.91558762886598
8,29.830817790530848,29.860121654501217
9,29.872863247863247,29.909703315881323
10,29.902283783783783,29.914925558312657
11,30.041420612813372,30.024083601286176
12,30.081118881118883,30.009393647738207
